
Прококол загрузки файла с ценами от 2017-02-22 11:14:05.933891
Строка № 123 не загружена! ['39455', 'COSIBO', '1', '630', '410', '410', '397', '', '', '\n']
Строка № 124 не загружена! ['39459', 'COSIBO', '0', '1827', '1188', '1188', '1151', '', '', '\n']
Строка № 125 не загружена! ['39469/1', 'COSIBO', '0', '1506', '979', '979', '949', '', '', '\n']
Строка № 126 не загружена! ['39470/1', 'COSIBO', '0', '1506', '979', '979', '949', '', '', '\n']
Строка № 127 не загружена! ['39471', 'COSIBO', '1', '2255', '1466', '1466', '1421', '', '', '\n']
Строка № 128 не загружена! ['39472', 'COSIBO', '1', '2255', '1466', '1466', '1421', '', '', '\n']
Строка № 129 не загружена! ['39480/1', 'COSIBO', '2', '1166', '758', '758', '735', '', '', '\n']
Строка № 130 не загружена! ['39484', 'COSIBO', '1', '359', '234', '234', '226', '', '', '\n']
Строка № 131 не загружена! ['39554', 'COSIBO', '1', '529', '344', '344', '333', '', '', '\n']
Строка № 132 не загружена! ['39555', 'COSIBO', '1', '529', '344', '344', '333', '', '', '\n']
Строка № 133 не загружена! ['39564', 'COSIBO', '1', '11592', '7535', '7535', '7303', '', '', '\n']
Строка № 134 не загружена! ['39566/2', 'COSIBO', '0', '13356', '8681', '8681', '8414', '', '', '\n']
Строка № 135 не загружена! ['39567/2', 'COSIBO', '0', '13356', '8681', '8681', '8414', '', '', '\n']
Строка № 136 не загружена! ['39580', 'COSIBO', '1', '2255', '1466', '1466', '1421', '', '', '\n']
Строка № 137 не загружена! ['39581', 'COSIBO', '1', '2255', '1466', '1466', '1421', '', '', '\n']
Строка № 138 не загружена! ['39582', 'COSIBO', '1', '3389', '2203', '2203', '2135', '', '', '\n']
Строка № 139 не загружена! ['39585', 'COSIBO', '1', '2671', '1736', '1736', '1683', '', '', '\n']
Строка № 140 не загружена! ['39586', 'COSIBO', '1', '2671', '1736', '1736', '1683', '', '', '\n']
Строка № 141 не загружена! ['40545', 'COSIBO', '1', '2010', '1307', '1307', '1266', '', '', '\n']
Строка № 142 не загружена! ['40550', 'COSIBO', '1', '2010', '1307', '1307', '1266', '', '', '\n']
Строка № 143 не загружена! ['40574', 'COSIBO', '1', '4977', '3235', '3235', '3136', '', '', '\n']
Строка № 144 не загружена! ['40575', 'COSIBO', '0', '4977', '3235', '3235', '3136', '', '', '\n']
Строка № 145 не загружена! ['40700', 'COSIBO', '0', '945', '614', '614', '595', '', '', '\n']
Строка № 146 не загружена! ['41108', 'COSIBO', '2', '1096', '713', '713', '690', '', '', '\n']
Строка № 147 не загружена! ['41164', 'COSIBO', '0', '3213', '2088', '2088', '2024', '', '', '\n']
Строка № 148 не загружена! ['41165', 'COSIBO', '0', '3213', '2088', '2088', '2024', '', '', '\n']
Строка № 149 не загружена! ['60511', 'COSIBO', '0', '454', '295', '295', '286', '', '', '\n']
Строка № 150 не загружена! ['60512', 'COSIBO', '1', '353', '229', '229', '222', '', '', '\n']
